グラフ中のタイトルをsに設定する	plt.title(s)
TSVファイルfilenameを読み込む	pd.read_csv(filename, sep='\t', encoding='utf-8')
日付adateにn時間分、加算する	adate + datetime.timedelta(hours=n)
カウンタaCounter内の文字列element項目を増やす	aCounter[element] += 1
ブラック色の折れ線グラフを描画する	plt.plot(xdata, ydata, color='black')
データフレームdfのカラムcolをヒストグラムで描画する	plt.hist(df[col])
ファイルfilenameをディレクトリ名とファイル名に分割する	os.path.split(filename)
リストxdataとリストydataについての散布図をダークレッド色で重なりを見やすく描画する	plt.plot(xdata, ydata, c='darkred', alpha=0.5)
散布図に丸マーカーを使う	plt.plot(xdata, ydata, marker='o')
ロージーブラウン色でリストxdataについてのヒストグラムを描画する	plt.hist(xdata, color='rosybrown')
nを半分にする	n /= 2
リストxdataとリストydataの折れ線グラフに、青いポイントマーカーを描画する	plt.plot(xdata, ydata, marker='.', markerfacecolor='b')
リストalistとリストalist2を連結する	alist + alist2
nが一桁の正の数か調べる	0 <= n <= 9
リストxdataとリストydataについて破線グラフを描画して、その色をペルーに設定する	plt.plot(xdata, ydata, linestyle='dash', color='peru')
折れ線グラフの色をカーキに設定する	plt.plot(xdata, ydata, color='khaki')
折れ線グラフの三角マーカーの線幅をnに設定する	plt.plot(xdata, ydata, marker='^', markeredgewidth=n)
ブラウン色のマーカーで散布図を重なりを見やすく描画する	plt.plot(xdata, ydata, c='brown', alpha=0.5)
破線グラフの色をホワイトスモークに設定する	plt.plot(xdata, ydata, linestyle='dash', color='whitesmoke')
データフレームdfのカラムcolの欠損値を最小値に設定する	df[col].fillna(df[col].min())
n年n2月n3日を日時に変換する	datetime.datetime(year=n, month=n2, day=n3)
データフレームdfのカラムcolのタイムゾーンを日本に設定する	df[col].tz_convert('Asia/Tokyo')
リストxdataをフクシア色のヒストグラムで描画する	plt.hist(xdata, color='fuchsia')
オプションで、エンコーディングエラーを無視するように設定する	errors = 'ignore'
カウンタaCounterをペアリストに変換する	aCounter.items()
リストxdataとリストydataについての散布図をスラグレー色で重なりを見やすく描画する	plt.plot(xdata, ydata, c='slategray', alpha=0.5)
現在のミリ秒	int(time.time() * 1000)
nの三乗	n ** 3
折れ線グラフのポイントマーカーの大きさをnに設定する	plt.plot(xdata, ydata, marker='.', markersize=n)
リストxdataとリストydataについての散布図をアザミ色で重なりを見やすく描画する	plt.plot(xdata, ydata, c='thistle', alpha=0.5)
xからx2を引く	x - x2
セットasetにおけるセットaset2の補集合	aset.difference(aset2)
リストxdataとリストydataについてスラグレー色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='slategray')
xの正弦の逆数	math.asin(x)
ナバホホワイト色のマーカーで散布図を重なりを見やすく描画する	plt.plot(xdata, ydata, c='navajowhite', alpha=0.5)
ライトグレー色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='lightgray')
日時dtをタプルに変換する	dt.timetuple()
ブルーバイオレット色でリストxdataについてのヒストグラムを描画する	plt.hist(xdata, color='blueviolet')
リストxdataとリストydataについて散布図を描画して、マーカーの色を黄色に設定する	plt.plot(xdata, ydata, c='yellow')
リストxdataとリストydataについての散布図をディープスカイブルー色で描画する	plt.plot(xdata, ydata, c='deepskyblue')
arrayを等量でn個にビン分割する	pd.qcut(array, n)
データフレームdfから数値データのカラムを抽出する	df.select_dtypes('number')
オプションで、namesをカラムの名前に設定する	names = names
リストxdataとリストydataの点線グラフを描画して、その色を赤にする	plt.plot(xdata, ydata, linestyle='dotted', color='r')
リストxdataとリストydataについての散布図をミディアムオーキッド色で重なりを見やすく描画する	plt.plot(xdata, ydata, c='mediumorchid', alpha=0.5)
リストxdataとリストydataについてディープスカイブルー色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='deepskyblue')
リストalistとリストalist2から辞書	dict(zip(alist, alist2))
辞書adictをJSON形式の文字列に変換する	json.dumps(adict, ensure_ascii=False)
sを末尾から空白で区切る	s.rsplit()
数式として、eの部分分数化を行う	sympy.apart(e)
ミディアムシアグリーン色のマーカーで散布図を重なりを見やすく描画する	plt.plot(xdata, ydata, c='mediumseagreen', alpha=0.5)
xの小数点以下'3'桁までを表示する	print(':.3f'.format(x))
リストxdataとリストydataについての散布図をダークオリーブグリーン色で描画する	plt.plot(xdata, ydata, c='darkolivegreen')
リストxdataをスラグレー色のヒストグラムで描画する	plt.hist(xdata, color='slategray')
折れ線グラフに丸マーカーを使う	plt.plot(xdata, ydata, marker='o')
折れ線グラフの色を黄色くする	plt.plot(xdata, ydata, color='y')
sのn以降にs2が含まれるか調べる	s.find(s2, start=n) != -1
スプリンググリーン色でリストxdataについてのヒストグラムを描画する	plt.hist(xdata, color='springgreen')
線幅nの破線グラフを描画する	plt.plot(xdata, ydata, linestyle='dashed', linewidth=n)
整数nの各桁の総和	sum(map(int, str(int(n))))
日時dtををn日後に進める	dt + datetime.timedelta(days=n)
リストxdataとリストydataについて散布図を描画して、マーカーの色をディムグレーに設定する	plt.plot(xdata, ydata, c='dimgray')
日時dtにn年分、加算する	dt + datetime.timedelta(years=n)
リストxdataをパレットトルコイズ色のヒストグラムで描画する	plt.hist(xdata, color='paleturquoise')
スラグレー色のマーカーで散布図を描画する	plt.plot(xdata, ydata, c='slategrey')
ビスク色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='bisque')
ライトスレイグレー色でリストxdataについてのヒストグラムを描画する	plt.hist(xdata, color='lightslategrey')
折れ線グラフの色をライトサーモンに設定する	plt.plot(xdata, ydata, color='lightsalmon')
破線グラフの色をクリムゾンに設定する	plt.plot(xdata, ydata, linestyle='dash', color='crimson')
淡いピンク色色でリストxdataについてのヒストグラムを描画する	plt.hist(xdata, color='lightpink')
アクアマリン色でリストxdataについてのヒストグラムを描画する	plt.hist(xdata, color='aquamarine')
折れ線グラフの色をライトグリーンに設定する	plt.plot(xdata, ydata, color='lightgreen')
データフレームdfのリストalistカラムの空文字を欠損値に変換し、ドロップする	df[alist].replace('', np.nan).dropna()
破線グラフの色をグリーンに設定する	plt.plot(xdata, ydata, linestyle='dash', color='green')
リストxdataとリストydataについてダーク・スラテグレー色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='darkslategrey')
折れ線グラフの色を赤くする	plt.plot(xdata, ydata, color='r')
ダークグレー色でリストxdataについてのヒストグラムを描画する	plt.hist(xdata, color='darkgray')
破線グラフの色をミディアムターコイズに設定する	plt.plot(xdata, ydata, linestyle='dash', color='mediumturquoise')
データ列dsを10の位で丸める	ds.round(-1)
リストxdataとリストydataの折れ線グラフを描画して、点線に設定する	plt.plot(xdata, ydata, linestyle='dotted')
ラベンダー色の折れ線グラフを描画する	plt.plot(xdata, ydata, color='lavender')
データフレームdfをリストalistで指定されたカラムによって昇順にソートする	df.sort_values(by=alist, ascending=True)
コーラル色の折れ線グラフを描画する	plt.plot(xdata, ydata, color='coral')
ロイヤルブルー色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='royalblue')
リストxdataとリストydataについてダークゴールデンロッド色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='darkgoldenrod')
sを複数行対応のパターンpatternで分割する	re.split(pattern, s, flags=re.MULTILINE)
0から9までの配列を作る	np.arange(10)
リストxdataとリストydataについて折れ線グラフを描画して、その色をダークグレーに設定する	plt.plot(xdata, ydata, color='darkgray')
ダークオーキッド色の折れ線グラフを描画する	plt.plot(xdata, ydata, color='darkorchid')
日時dtの分数	dt.minite
リストxdataとリストydataについてパープル色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='purple')
数式として、方程e=0を解く	sympy.solve(e)
バイオレット色の折れ線グラフを描画する	plt.plot(xdata, ydata, color='violet')
リストxdataとリストydataについての散布図をシエナ色で重なりを見やすく描画する	plt.plot(xdata, ydata, c='sienna', alpha=0.5)
データ列dsのsを欠損値に変換する	ds.replace(s, np.nan)
折れ線グラフの色をミディアムバイオレットレッドに設定する	plt.plot(xdata, ydata, color='mediumvioletred')
ダークグレー色の折れ線グラフを描画する	plt.plot(xdata, ydata, color='darkgray')
文字列elementがセットasetに含まれないか調べる	element not in aset
散布図にグリーンイエロー色のマーカーを使う	plt.plot(xdata, ydata, c='greenyellow')
リストxdataとリストydataについて折れ線グラフを描画して、その色を小麦に設定する	plt.plot(xdata, ydata, color='wheat')
リストxdataとリストydataの折れ線グラフに左三角マーカーを描画する	plt.plot(xdata, ydata, marker='<')
リストxdataとリストydataについての散布図に黒い丸マーカーを描画する	plt.plot(xdata, ydata, marker='o', c='k')
ケンドール相関係数でデータフレームdfのリストalistカラムの相関行列	df[alist].corr(method='kendall')
オブジェクトobjをユーザ向けの文字列に変換する	str(obj)
原点からの(x,x2)の距離	math.hypot(x, x2)
オールドレース色のマーカーで散布図を重なりを見やすく描画する	plt.plot(xdata, ydata, c='oldlace', alpha=0.5)
リストiterableを累積する	itertools.accumulate(iterable, operator.mul)
パウダーブルー色のマーカーで散布図を描画する	plt.plot(xdata, ydata, c='powderblue')
デックdeqの末尾にリストiterableの各要素を追加する	deq.extend(iterable)
破線グラフの色をローングリーンに設定する	plt.plot(xdata, ydata, linestyle='dash', color='lawngreen')
ロージーブラウン色のマーカーで散布図を重なりを見やすく描画する	plt.plot(xdata, ydata, c='rosybrown', alpha=0.5)
リストxdataとリストydataについて折れ線グラフを描画して、その色をライトブルーに設定する	plt.plot(xdata, ydata, color='lightblue')
破線グラフの色をミディアムパープルに設定する	plt.plot(xdata, ydata, linestyle='dash', color='mediumpurple')
リストxdataとリストydataについて折れ線グラフを描画して、その色を貝殻に設定する	plt.plot(xdata, ydata, color='seashell')
リストxdataとリストydataについて折れ線グラフを描画して、その色を青に設定する	plt.plot(xdata, ydata, color='blue')
リストxdataとリストydataの折れ線グラフにポイントマーカーを描画する	plt.plot(xdata, ydata, marker='.')
ファイルfilenameを読み込みモードでオープンする]	open(filename, mode='r')
nからn2までのひとつ飛ばしの整数列	list(range(n, n2+1, 2))
s内にひとつでもアルファベットが含まれるか調べる	any(c.isalpha() for c in s)
黒い点線グラフを描画する	plt.plot(xdata, ydata, linestyle='dotted', color='k')
カーキ色のマーカーで散布図を重なりを見やすく描画する	plt.plot(xdata, ydata, c='khaki', alpha=0.5)
データ列dsをn個にビン分割して、namesのラベルをつける	pd.cut(ds, n, labels=names)
マルーン色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='maroon')
リストxdataとリストydataについて散布図を描画して、星マーカーの色をカラーコードrgbに設定する	plt.plot(xdata, ydata, marker='*', c=rgb)
データフレームdfのカラムcolの月	df[col].dt.month
リストxdataとリストydataについて破線グラフを描画して、その色をライトシアンに設定する	plt.plot(xdata, ydata, linestyle='dash', color='lightcyan')
イテレータAとBを連続して繰り返す	for X in itertools.chain(A, B):
リストxdataとリストydataについてロイヤルブルー色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='royalblue')
散布図にミスティローズ色のマーカーを使う	plt.plot(xdata, ydata, c='mistyrose')
nのn2乗	n ** n2
データフレームdfのカラムcolがリストalistに含まれる行を抽出する	df[df[col].isin(alist)]
日付adateが土曜日か調べる	adate.weekday() == 5
リストxdataとリストydataについてハリウッド色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='burlywood')
リストxdataとリストydataについて散布図を描画して、マーカーの色を紺碧に設定する	plt.plot(xdata, ydata, c='azure')
ライム色のマーカーで散布図を描画する	plt.plot(xdata, ydata, c='lime')
カウンタaCounterを辞書に変換する	dict(aCounter)
リストxdataとリストydataについてダークカーキ色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='darkkhaki')
文字コードnの文字	chr(n)
リストxdataとリストydataの折れ線グラフに四角マーカーを描画する	plt.plot(xdata, ydata, marker='s')
リストxdataをイエローグリーン色のヒストグラムで描画する	plt.hist(xdata, color='yellowgreen')
リストiterableから重複を取り除く	set(iterable)
破線グラフの色をスプリンググリーンに設定する	plt.plot(xdata, ydata, linestyle='dash', color='springgreen')
リストiterableの重複コンビネーション	itertools.combinations_with_replacement(iterable, n)
本日の曜日を整数で使う	datetime.datetime.today().weekday()
折れ線グラフのマーカーを星に設定する	plt.plot(xdata, ydata, marker='*')
グラフのカラーパレットをsで指定する	sns.set(pallete=s)
セットasetからエラーなく文字列elementを取り除く	aset.discard(element)
Pandasで、フォーマットでデータフレームdfのcollを日付データに変換する	pd.to_datetime(df[col], format='%Y-%m-%d')
ミディアムパープル色のマーカーで散布図を重なりを見やすく描画する	plt.plot(xdata, ydata, c='mediumpurple', alpha=0.5)
x2をxとする	x = x2
散布図にアザミ色のマーカーを使う	plt.plot(xdata, ydata, c='thistle')
リストxdataとリストydataについて折れ線グラフを描画して、その色をライトシアンに設定する	plt.plot(xdata, ydata, color='lightcyan')
リストxdataとリストydataの一点鎖線グラフを描画する	plt.plot(xdata, ydata, linestyle='dashbot')
散布図に黒い大バツマーカーを使う	plt.plot(xdata, ydata, marker='X', c='k')
折れ線グラフの色をベージュに設定する	plt.plot(xdata, ydata, color='beige')
{x2の符号を/xに}コピーする	math.copysign(x, x2)
リストalistをビン数nでビン分割して、namesのラベルをつける	pd.cut(alist, n, labels=names)
リストxdataとリストydataの実線グラフを描画して、その色をカラーコードrgbに設定する	plt.plot(xdata, ydata, linestyle='solid', color=rgb)
シーグリーン色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='seagreen')
シエナ色のマーカーで散布図を重なりを見やすく描画する	plt.plot(xdata, ydata, c='sienna', alpha=0.5)
データ列dsのどの値が頻出か見る	ds.mode()
sというサブディレクトリをPythonパスに加える	sys.path.append(os.path.join(os.path.dirname(__file__), s))
リストxdataとリストydataについてサドルブラウン色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='saddlebrown')
リストxdataとリストydataの折れ線グラフに、黄色い星マーカーを描画する	plt.plot(xdata, ydata, marker='*', markerfacecolor='y')
破線グラフの色をライトスレイグレーに設定する	plt.plot(xdata, ydata, linestyle='dash', color='lightslategray')
ダーク・スラテグレー色のマーカーで散布図を重なりを見やすく描画する	plt.plot(xdata, ydata, c='darkslategrey', alpha=0.5)
日付adateからn月分、減算する	adate - datetime.timedelta(months=n)
リストxdataとリストydataについての散布図をオレンジレッド色で重なりを見やすく描画する	plt.plot(xdata, ydata, c='orangered', alpha=0.5)
ダークマゼンタ色のマーカーで散布図を描画する	plt.plot(xdata, ydata, c='darkmagenta')
リストxdataとリストydataについての散布図をライトブルー色で描画する	plt.plot(xdata, ydata, c='lightblue')
リストxdataとリストydataの折れ線グラフに、緑色の下三角マーカーを描画する	plt.plot(xdata, ydata, marker='v', markerfacecolor='g')
折れ線グラフを実線に設定する	plt.plot(xdata, ydata, linestyle='solid')
numpyを使う	import numpy as np
日付adateをn分前に戻す	adate - datetime.timedelta(minutes=n)
本日をISO形式の文字列に変換する	datetime.datetime.today().isoformat()
sが全てアスキー文字か調べる	s.isascii()
散布図にトマト色のマーカーを使う	plt.plot(xdata, ydata, c='tomato')
リストxdataとリストydataについての散布図をダークターコイズ色で描画する	plt.plot(xdata, ydata, c='darkturquoise')
リストxdataとリストydataについての散布図をグリーン色で重なりを見やすく描画する	plt.plot(xdata, ydata, c='green', alpha=0.5)
データフレームdfのの中で、カラムcolとカラムcol2に重複があるか見る	df.duplicated(subset=[col1, col2])
ダークオーキッド色のマーカーで散布図を描画する	plt.plot(xdata, ydata, c='darkorchid')
リストxdataとリストydataについて折れ線グラフを描画して、その色をシャルトルーズに設定する	plt.plot(xdata, ydata, color='chartreuse')
リストxdataとリストydataについての散布図に赤い左三角マーカーを描画する	plt.plot(xdata, ydata, marker='<', c='r')
データフレームdfのカラムcolがx以上の行を抽出する	df[df[col] >= x]
耐火レンガ色でリストxdataについてのヒストグラムを描画する	plt.hist(xdata, color='firebrick')
スラグレー色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='slategrey')
dfのcolがxの行を抽出する	df[df[col] == x]
改行なしにリストalistを表示する	print(alist, end='')
データ列dsが何曜日か見る	ds.dt.weekday_name
データフレームdfのカラムcolを10の位で丸める	df[col].round(-1)
nがn2以下か調べる	n <= n2
破線グラフの色をオーキッドに設定する	plt.plot(xdata, ydata, linestyle='dash', color='orchid')
データフレームdfからランダムに抽出する	df.sample()
タプルatuple内の要素が全て真か調べる	all(atuple)
散布図にドジャーブルー色のマーカーを使う	plt.plot(xdata, ydata, c='dodgerblue')
リストxdataとリストydataについて破線グラフを描画して、その色をアリスブルーに設定する	plt.plot(xdata, ydata, linestyle='dash', color='aliceblue')
xの符号をx2と同じにする	math.copysign(x, x2)
ベージュ色のマーカーで散布図を重なりを見やすく描画する	plt.plot(xdata, ydata, c='beige', alpha=0.5)
リストxdataとリストydataの折れ線グラフに、線幅nのダイアモンドマーカーを描画する	plt.plot(xdata, ydata, marker='D', markeredgewidth=n)
ティール色の折れ線グラフを描画する	plt.plot(xdata, ydata, color='teal')
リストxdataとリストydataについて折れ線グラフを描画して、その色をグレーに設定する	plt.plot(xdata, ydata, color='gray')
パールバイオレットレッド色のマーカーで散布図を重なりを見やすく描画する	plt.plot(xdata, ydata, c='palevioletred', alpha=0.5)
ダークスラテグレー色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='darkslategray')
データフレームdfのsを欠損値に変換する	df.replace(s, np.nan)
リストxdataとリストydataについて散布図を描画して、マーカーを大バツに設定する	plt.plot(xdata, ydata, marker='X')
リストalistの先頭	alist[0]
折れ線グラフの色をターコイズに設定する	plt.plot(xdata, ydata, color='turquoise')
スラグレー色のマーカーで散布図を重なりを見やすく描画する	plt.plot(xdata, ydata, c='slategray', alpha=0.5)
綺麗なグラフを描画する	import seaborn as sns
本日の日時	datetime.datetime.today()
リストxdataとリストydataの折れ線グラフに、黒い右三角マーカーを描画する	plt.plot(xdata, ydata, marker='>', markerfacecolor='k')
リストxdataとリストydataについての散布図をレベッカパープル色で重なりを見やすく描画する	plt.plot(xdata, ydata, c='rebeccapurple', alpha=0.5)
レモンシフォン色でリストxdataについてのヒストグラムを描画する	plt.hist(xdata, color='lemonchiffon')
散布図にプラム色のマーカーを使う	plt.plot(xdata, ydata, c='plum')
リストiterableのイミュータブルな集合	frozenset(iterable)
散布図にスラグレー色のマーカーを使う	plt.plot(xdata, ydata, c='slategray')
散布図にアクア色のマーカーを使う	plt.plot(xdata, ydata, c='aqua')
ダークオリーブグリーン色でリストxdataについてのヒストグラムを描画する	plt.hist(xdata, color='darkolivegreen')
折れ線グラフのマーカーを下三角に設定する	plt.plot(xdata, ydata, marker='v')
リストxdataとリストydataについて破線グラフを描画して、その色をピンクに設定する	plt.plot(xdata, ydata, linestyle='dash', color='pink')
散布図に黒いダイアモンドマーカーを使う	plt.plot(xdata, ydata, marker='D', c='k')
破線グラフの色をダークカーキに設定する	plt.plot(xdata, ydata, linestyle='dash', color='darkkhaki')
破線グラフの色をナバホホワイトに設定する	plt.plot(xdata, ydata, linestyle='dash', color='navajowhite')
リストiterableのテイルフィルタを作る	collections.deque(iterable, maxlen=n)
リストxdataとリストydataについて折れ線グラフを描画して、その色をイエローグリーンに設定する	plt.plot(xdata, ydata, color='yellowgreen')
リストxdataとリストydataについて破線グラフを描画して、その色をチョコレートに設定する	plt.plot(xdata, ydata, linestyle='dash', color='chocolate')
折れ線グラフのバツマーカーを緑色に設定する	plt.plot(xdata, ydata, marker='x', markerfacecolor='g')
リストxdataとリストydataについて破線グラフを描画して、その色をサンディーブラウンに設定する	plt.plot(xdata, ydata, linestyle='dash', color='sandybrown')
リストxdataとリストydataについての散布図をライム色で描画する	plt.plot(xdata, ydata, c='lime')
リストxdataとリストydataについての散布図に赤い右三角マーカーを描画する	plt.plot(xdata, ydata, marker='>', c='r')
リストxdataとリストydataについての散布図をミディアムスレートブルー色で描画する	plt.plot(xdata, ydata, c='mediumslateblue')
リストxdataとリストydataについて散布図を描画して、マーカーの色をスラグレーに設定する	plt.plot(xdata, ydata, c='slategray')
データフレームdfの数値をまとめて小数点以下n桁で丸めて、インプレイスする	df.round(n, inplace=True)
Pandasで、データ列dsを日付データに変換する	pd.to_datetime(ds)
ミスティローズ色の折れ線グラフを描画する	plt.plot(xdata, ydata, color='mistyrose')
ホワイト色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='white')
日付adateをsでフォーマットする	adate.strftime()
sをコロンで分割し、文字列リストに変換する	s.split(':')
リストxdataとリストydataについての散布図をホワイト色で重なりを見やすく描画する	plt.plot(xdata, ydata, c='white', alpha=0.5)
散布図にシーグリーン色のマーカーを使う	plt.plot(xdata, ydata, c='seagreen')
リストxdataをサーモン色のヒストグラムで描画する	plt.hist(xdata, color='salmon')
ペルー色でリストxdataについてのヒストグラムを描画する	plt.hist(xdata, color='peru')
n年を日時に変換する	datetime.datetime(year=n, month=1, day=1)
日付adateの月数	adate.month
最大長をnにして両端キューを新しく作る	collections.deque(maxlen=n)
ダークマゼンタ色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='darkmagenta')
ダークオリーブグリーン色のマーカーで散布図を重なりを見やすく描画する	plt.plot(xdata, ydata, c='darkolivegreen', alpha=0.5)
折れ線グラフの色をダークバイオレットに設定する	plt.plot(xdata, ydata, color='darkviolet')
リストxdataとリストydataについて散布図を描画して、マーカーの色をビスクに設定する	plt.plot(xdata, ydata, c='bisque')
破線グラフの色をデピンクに設定する	plt.plot(xdata, ydata, linestyle='dash', color='deeppink')
データフレームを表示するとき、表示可能な最大列数を変更する	pd.set_option('display.max_columns', n)
インディアンレッド色のマーカーで散布図を描画する	plt.plot(xdata, ydata, c='indianred')
ミディアムパープル色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='mediumpurple')
オプションで、破壊的に操作する	inplace = True
ライトグレー色のマーカーで散布図を重なりを見やすく描画する	plt.plot(xdata, ydata, c='lightgray', alpha=0.5)
リストxdataとリストydataについて折れ線グラフを描画して、その色をピーチパフに設定する	plt.plot(xdata, ydata, color='peachpuff')
リストxdataをダークグレー色のヒストグラムで描画する	plt.hist(xdata, color='darkgray')
リストxdataとリストydataについての散布図をチョコレート色で重なりを見やすく描画する	plt.plot(xdata, ydata, c='chocolate', alpha=0.5)
コマンドの第一引数を得る	sys.argv[1]
パールゴールデンロッド色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='palegoldenrod')
リストxdataとリストydataの折れ線グラフに、線幅nの四角マーカーを描画する	plt.plot(xdata, ydata, marker='s', markeredgewidth=n)
ライトスカイブルー色のマーカーで散布図を描画する	plt.plot(xdata, ydata, c='lightskyblue')
データフレームdfのカラムcolがsで始まらない行を抽出する	df[not df[col].str.startswith(s)]
xの正接の逆数	math.atan(x)
リストxdataとリストydataについて黄色色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='yellow')
リストxdataとリストydataについてターコイズ色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='turquoise')
データフレームdfをJSONLファイルfilenameに保存する	df.to_csv(filename)
文字列elementと文字列element2をカンマで区切って表示する	print(element, element2, sep=',')
リストxdataとリストydataについて破線グラフを描画して、その色をブラックに設定する	plt.plot(xdata, ydata, linestyle='dash', color='black')
xの双曲線正接の逆数	math.atanh(x)
グラフで使える色の一覧	matplotlib.colors.cnames
タプルatupleとタプルatuple2を連結する	atuple + atuple2
sを走査し、パターンpatternに大文字・小文字を無視してマッチするか見る	re.search(pattern, s, flags=re.IGNORECASE)
ディムグレー色のマーカーで散布図を描画する	plt.plot(xdata, ydata, c='dimgray')
リストxdataとリストydataについての散布図をハニーデュー色で重なりを見やすく描画する	plt.plot(xdata, ydata, c='honeydew', alpha=0.5)
ターコイズ色でリストxdataについてのヒストグラムを描画する	plt.hist(xdata, color='turquoise')
データ列dsを10の位で丸めて、整数型にする	ds.round(-1).astype(int)
スノー色のマーカーで散布図を重なりを見やすく描画する	plt.plot(xdata, ydata, c='snow', alpha=0.5)
データフレームdfのリストalistカラムの欠損値を直前の値に設定する	df[alist].fillna(method='ffill')
データフレームdfから型tyのカラムの名前の一覧	df.select_dtypes(ty).columns
データフレームdfの最頻値の出現回数	df.freq()
折れ線グラフに四角マーカーを使う	plt.plot(xdata, ydata, marker='s')
データフレームdfの末尾n行を抽出する	df.tail(n)
破線グラフの色をロイヤルブルーに設定する	plt.plot(xdata, ydata, linestyle='dash', color='royalblue')
セットasetをイミュータブルに変換する	frozenset(aset)
データフレームdfのリストalistカラムを丸めて、整数型にする	df[alist].round().astype(int)
辞書adictをJSON形式でファイル出力foutに保存する	json.dump(adict, fout, ensure_ascii=False)
シャルトルーズ色のマーカーで散布図を重なりを見やすく描画する	plt.plot(xdata, ydata, c='chartreuse', alpha=0.5)
データフレームdfのカラムcolの値をdictでまとめて置き換える	df[col].replace(adict)
デピンク色でリストxdataについてのヒストグラムを描画する	plt.hist(xdata, color='deeppink')
リストxdataを淡いピンク色色のヒストグラムで描画する	plt.hist(xdata, color='lightpink')
ライトゴールドロディイエロー色でリストxdataについてのヒストグラムを描画する	plt.hist(xdata, color='lightgoldenrodyellow')
黒いポイントマーカーで散布図を描画する	plt.plot(xdata, ydata, marker='.', c='k')
リストxdataとリストydataについての散布図にポイントマーカーを描画する	plt.plot(xdata, ydata, marker='.')
データ列dsを1000の位で丸めて、整数型にする	ds.round(-3).astype(int)
ファイルfilenameのファイルサイズ	os.path.get_size(filename)
データフレームdfをカラムcolによって昇順にソートして、更新する	df.sort_values(by=col, ascending=True, inplace=True)
リストxdataとリストydataについて散布図を描画して、マーカーの色をアクアに設定する	plt.plot(xdata, ydata, c='aqua')
青い点線グラフを描画する	plt.plot(xdata, ydata, linestyle='dotted', color='b')
折れ線グラフの色をディムグレーに設定する	plt.plot(xdata, ydata, color='dimgrey')
ライトブルー色のマーカーで散布図を描画する	plt.plot(xdata, ydata, c='lightblue')
セットasetからセットaset2を引いた差集合	aset.difference(aset2)
折れ線グラフの三角マーカーの大きさをnに設定する	plt.plot(xdata, ydata, marker='^', markersize=n)
リストxdataとリストydataについて破線グラフを描画して、その色をパウダーブルーに設定する	plt.plot(xdata, ydata, linestyle='dash', color='powderblue')
データフレームdfのインデックスの名前の一覧	df.index
カウンタaCounterをリセットする	aCounter.clear()
スプリンググリーン色のマーカーで散布図を描画する	plt.plot(xdata, ydata, c='springgreen')
セットasetがセットaset2の真上位集合か調べる	aset > aset2
データ列dsの欠損値を中央値に設定する	ds.fillna(ds.median())
リストxdataとリストydataについて折れ線グラフを描画して、その色をティールに設定する	plt.plot(xdata, ydata, color='teal')
折れ線グラフのマーカーを三角に設定する	plt.plot(xdata, ydata, marker='^')
ターコイズ色のマーカーで散布図を重なりを見やすく描画する	plt.plot(xdata, ydata, c='turquoise', alpha=0.5)
ファイルfilenameとtextを結合する	os.path.join(filename, text)
リストxdataとリストydataについての散布図をダークバイオレット色で描画する	plt.plot(xdata, ydata, c='darkviolet')
リストxdataとリストydataの折れ線グラフに、青い三角マーカーを描画する	plt.plot(xdata, ydata, marker='^', markerfacecolor='b')
リストxdataとリストydataについて散布図を描画して、マーカーの色をグリーンイエローに設定する	plt.plot(xdata, ydata, c='greenyellow')
データ列dsを等間隔でn個にビン分割する	pd.cut(ds, n)
